Participant ID,Condition,PreErrorRate,PreExcessHitRate,PostErrorRate,PostExcessHitRate,excessHitRateDelta,errorRateDelta,PreMeanAsynchrony,PreMeanRelativeAsynchrony,PreMeanIOIError,PostMeanAsynchrony,PostMeanRelativeAsynchrony,PostMeanIOIError,MeanAsynchronyDelta,MeanRelativeAsynchronyDelta,MeanIOIErrorDelta
5,D,67.70833333333333,7.291666666666667,39.583333333333336,16.666666666666664,9.374999999999996,-28.124999999999993,187.50000000000006,44.369369369369366,71.19047619047618,85.86065573770487,14.416666666666735,31.06557377049181,-101.63934426229518,-29.95270270270263,-40.124902419984366
6,A,59.375,0.0,36.458333333333336,15.625,15.625,-22.916666666666664,122.54273504273517,32.87646198830414,38.934294871794904,47.93595679012356,-8.280088622069753,16.302083333333282,-74.6067782526116,-41.1565506103739,-22.632211538461622
6,B,36.458333333333336,15.625,29.166666666666657,18.75,3.125,-7.2916666666666785,47.93595679012356,-8.280088622069753,16.302083333333282,57.98611111111102,9.664902998236359,15.996472663139343,10.05015432098746,17.944991620306112,-0.30561067019393917
6,C,29.166666666666657,18.75,34.375,4.166666666666666,-14.583333333333334,5.208333333333343,57.98611111111102,9.664902998236359,15.996472663139343,58.85416666666661,7.248677248677302,8.888888888888937,0.8680555555555856,-2.4162257495590573,-7.107583774250406
6,D,34.375,4.166666666666666,22.916666666666657,11.458333333333332,7.291666666666666,-11.458333333333343,58.85416666666661,7.248677248677302,8.888888888888937,39.322916666666636,1.6931216931217081,21.322751322751348,-19.53124999999997,-5.5555555555555935,12.43386243386241
7,A,33.33333333333334,16.666666666666664,2.083333333333343,2.083333333333333,-14.583333333333332,-31.25,221.70386904761915,48.13368055555555,93.96286231884056,45.95540364583347,2.52314814814816,6.4666005291005,-175.74846540178567,-45.61053240740739,-87.49626178974006
7,B,2.083333333333343,2.083333333333333,16.666666666666657,0.0,-2.083333333333333,14.583333333333314,45.95540364583347,2.52314814814816,6.4666005291005,150.69444444444446,59.00628930817609,3.5897435897436165,104.73904079861099,56.483141160027934,-2.8768569393568835
7,C,16.666666666666657,0.0,0.0,0.0,0.0,-16.666666666666657,150.69444444444446,59.00628930817609,3.5897435897436165,48.632812500000085,19.497354497354532,3.994708994708994,-102.06163194444437,-39.50893481082156,0.4049654049653775
7,D,0.0,0.0,0.0,1.0416666666666665,1.0416666666666665,0.0,48.632812500000085,19.497354497354532,3.994708994708994,53.841145833333435,21.560846560846596,5.079365079365037,5.20833333333335,2.0634920634920633,1.0846560846560434
8,A,53.125,16.666666666666664,11.458333333333343,3.125,-13.541666666666664,-41.66666666666666,149.5088633040935,31.714057807807816,84.70362103174605,69.51024865591403,27.383879781420784,8.865927419354813,-79.99861464817947,-4.330178026387031,-75.83769361239123
