Participant ID,Proficiency,VRExperience,Condition,Order,ErrorRate,ExcessHitRate,CognitiveLoad,Difficulty,MIDIFile,MeanAsynchrony,MeanRelativeAsynchrony,MeanIOIError,BPM,Component
3,1,2,D,2,2.083333333333343,0.0,0.28125,4,60BPM Combined.mid,41.796874999999964,-4.3279569892472916,12.096774193548388,60,1.0
3,1,2,D,2,15.625,3.125,0.28125,5,120BPM Combined.mid,64.94821092278731,22.739463601532613,17.35883424408013,120,2.0
3,1,2,D,2,0.0,0.0,0.28125,1,60BPM Hat.mid,66.40625000000001,13.064516129032262,1.7741935483870857,60,-2.0
3,1,2,D,2,0.0,0.0,0.28125,2,60BPM Snare & Hat.mid,33.463541666666835,4.059139784946267,12.849462365591405,60,-1.0
3,1,2,D,2,0.0,0.0,0.28125,3,60BPM Kick & Hat.mid,48.30729166666682,8.844086021505413,3.225806451612897,60,0.0
4,2,2,A,4,42.50000000000001,5.0,-1.71875,2,60BPM Snare & Hat.mid,12.662760416666824,0.9756944444444549,95.72916666666661,60,-1.0
4,2,2,A,4,36.458333333333336,18.75,-1.71875,5,120BPM Combined.mid,45.32986111111103,2.828446502057623,32.449387947269294,120,2.0
4,2,2,A,4,6.25,0.0,-1.71875,4,60BPM Combined.mid,34.357040229885385,6.103050595238107,13.717672413793114,60,1.0
4,2,2,A,4,50.0,6.25,-1.71875,1,60BPM Hat.mid,45.18229166666675,5.618055555555572,79.61805555555553,60,-2.0
4,2,2,A,4,44.99999999999999,2.5,-1.71875,3,60BPM Kick & Hat.mid,26.111111111111015,0.6696428571428511,88.19444444444446,60,0.0
4,2,2,B,3,0.0,0.0,0.28125,1,60BPM Hat.mid,59.11458333333346,11.881720430107551,2.0967741935484008,60,-2.0
4,2,2,B,3,2.5,15.0,0.28125,2,60BPM Snare & Hat.mid,31.250000000000107,4.8387096774193585,12.311827956989244,60,-1.0
4,2,2,B,3,0.0,12.5,0.28125,3,60BPM Kick & Hat.mid,68.61979166666681,13.897849462365624,10.96774193548388,60,0.0
4,2,2,B,3,2.083333333333343,10.416666666666668,0.28125,4,60BPM Combined.mid,54.166666666666664,-7.916666666666659,18.611111111111118,60,1.0
4,2,2,B,3,43.75,29.166666666666668,0.28125,5,120BPM Combined.mid,48.983134920634704,5.37373737373743,26.208112874779545,120,2.0
4,2,2,C,2,0.0,0.0,0.28125,4,60BPM Combined.mid,14.453124999999954,-0.7258064516128829,2.5268817204301133,60,1.0
4,2,2,C,2,47.916666666666664,13.541666666666666,0.28125,5,120BPM Combined.mid,116.66666666666669,28.13725490196084,23.766666666666666,120,2.0
4,2,2,C,2,0.0,0.0,0.28125,1,60BPM Hat.mid,33.07291666666671,6.5591397849462485,2.096774193548417,60,-2.0
4,2,2,C,2,0.0,2.5,0.28125,2,60BPM Snare & Hat.mid,19.40104166666667,1.9623655913978775,2.8494623655914033,60,-1.0
4,2,2,C,2,2.5,2.5,0.28125,3,60BPM Kick & Hat.mid,29.427083333333442,5.591397849462387,11.666666666666682,60,0.0
4,2,2,D,1,0.0,0.0,0.28125,1,60BPM Hat.mid,71.87500000000001,14.46236559139786,1.559139784946232,60,-2.0
4,2,2,D,1,10.0,12.5,0.28125,2,60BPM Snare & Hat.mid,40.23437499999984,0.5107526881720577,16.720430107526905,60,-1.0
4,2,2,D,1,7.5,17.5,0.28125,3,60BPM Kick & Hat.mid,56.90104166666675,11.370967741935507,13.575268817204272,60,0.0
4,2,2,D,1,18.75,20.833333333333336,0.28125,4,60BPM Combined.mid,34.3749999999999,6.451612903225809,22.258064516129007,60,1.0
4,2,2,D,1,43.75,18.75,0.28125,5,120BPM Combined.mid,135.5277777777779,44.926303854875336,34.13043478260872,120,2.0
5,0,1,A,2,52.5,27.500000000000004,0.28125,2,60BPM Snare & Hat.mid,92.29600694444431,-3.960597826086951,46.35030864197529,60,-1.0
5,0,1,A,2,41.666666666666664,20.833333333333336,0.28125,5,120BPM Combined.mid,77.7948288690477,6.242108585858595,43.11063218390803,120,2.0
5,0,1,A,2,60.41666666666667,31.25,0.28125,4,60BPM Combined.mid,75.37615740740735,-1.3694852941176312,71.09375,60,1.0
5,0,1,A,2,40.625,3.125,0.28125,1,60BPM Hat.mid,86.67763157894726,4.577546296296318,66.97222222222226,60,-2.0
5,0,1,A,2,50.0,5.0,0.28125,3,60BPM Kick & Hat.mid,133.46354166666688,7.917824074074084,81.00694444444437,60,0.0
5,0,1,B,4,0.0,0.0,2.28125,1,60BPM Hat.mid,97.39583333333346,19.354838709677438,5.000000000000006,60,-2.0
5,0,1,B,4,32.5,12.5,2.28125,2,60BPM Snare & Hat.mid,111.8279569892472,-1.111111111111082,7.419354838709674,60,-1.0
5,0,1,B,4,40.0,40.0,2.28125,3,60BPM Kick & Hat.mid,97.98387096774209,-14.13888888888887,25.053763440860234,60,0.0
5,0,1,B,4,33.33333333333334,33.33333333333333,2.28125,4,60BPM Combined.mid,77.86458333333324,-1.6129032258064124,30.430107526881727,60,1.0
5,0,1,B,4,37.5,31.25,2.28125,5,120BPM Combined.mid,67.19576719576713,11.20967741935487,33.06451612903223,120,2.0
5,0,1,C,1,50.0,34.375,2.28125,1,60BPM Hat.mid,151.23456790123458,22.767094017094045,10.200000000000015,60,-2.0
5,0,1,C,1,52.5,42.5,2.28125,2,60BPM Snare & Hat.mid,137.49999999999986,-6.499999999999999,16.989247311827953,60,-1.0
5,0,1,C,1,82.5,30.0,2.28125,3,60BPM Kick & Hat.mid,160.5263157894736,-3.0092592592592364,34.509803921568626,60,0.0
5,0,1,C,1,45.833333333333336,43.75,2.28125,4,60BPM Combined.mid,94.40104166666657,6.0483870967742055,29.032258064516114,60,1.0
5,0,1,C,1,59.375,6.25,2.28125,5,120BPM Combined.mid,175.37878787878796,59.082687338501316,26.752136752136728,120,2.0
5,0,1,D,3,43.75,45.83333333333333,2.28125,4,60BPM Combined.mid,62.638888888889014,4.022988505747155,35.6989247311828,60,1.0
5,0,1,D,3,35.41666666666666,28.125,2.28125,5,120BPM Combined.mid,93.7841530054645,24.02777777777781,36.02150537634408,120,2.0
5,0,1,D,3,3.125,0.0,2.28125,1,60BPM Hat.mid,80.10752688172039,15.472222222222214,4.36781609195402,60,-2.0
5,0,1,D,3,70.0,67.5,2.28125,2,60BPM Snare & Hat.mid,157.50000000000006,23.477011494252874,28.763440860215056,60,-1.0
5,0,1,D,3,82.5,80.0,2.28125,3,60BPM Kick & Hat.mid,184.9358974358974,17.93333333333336,33.388888888888886,60,0.0
6,1,1,A,1,17.5,17.5,2.28125,2,60BPM Snare & Hat.mid,25.381944444444446,-0.387931034482767,10.972222222222213,60,-1.0
6,1,1,A,1,28.125,15.625,2.28125,5,120BPM Combined.mid,62.9212204007286,18.902199074074115,18.892195767195734,120,2.0
6,1,1,A,1,16.666666666666657,41.66666666666667,2.28125,4,60BPM Combined.mid,55.43402777777788,-7.9166666666666705,31.027777777777793,60,1.0
6,1,1,A,1,3.125,3.125,2.28125,1,60BPM Hat.mid,24.46236559139779,-0.4374999999999839,10.194892473118308,60,-2.0
6,1,1,A,1,10.0,7.5,2.28125,3,60BPM Kick & Hat.mid,24.529569892473024,-1.56249999999997,20.026881720430094,60,0.0
6,1,1,B,2,3.125,0.0,2.28125,1,60BPM Hat.mid,11.021505376343894,-1.5277777777777892,4.944444444444453,60,-2.0
6,1,1,B,2,22.5,0.0,2.28125,2,60BPM Snare & Hat.mid,26.34408602150532,0.22222222222223745,5.055555555555578,60,-1.0
6,1,1,B,2,22.5,22.5,2.28125,3,60BPM Kick & Hat.mid,126.04166666666653,-24.677419354838673,13.736559139784912,60,0.0
6,1,1,B,2,39.583333333333336,10.416666666666668,2.28125,4,60BPM Combined.mid,63.936781609195414,-4.345238095238071,15.277777777777823,60,1.0
6,1,1,B,2,30.208333333333343,7.291666666666667,2.28125,5,120BPM Combined.mid,46.95340501792104,5.664845173041979,15.097001763668446,120,2.0
6,1,1,C,3,0.0,0.0,0.28125,1,60BPM Hat.mid,48.17708333333323,-3.010752688172053,3.6559139784946315,60,-2.0
6,1,1,C,3,20.0,2.5,0.28125,2,60BPM Snare & Hat.mid,23.437500000000064,-1.7204301075268806,3.655913978494606,60,-1.0
6,1,1,C,3,5.0,2.5,0.28125,3,60BPM Kick & Hat.mid,28.645833333333293,4.838709677419374,15.64516129032263,60,0.0
6,1,1,C,3,10.416666666666657,12.5,0.28125,4,60BPM Combined.mid,48.56770833333325,-9.435483870967724,27.741935483870943,60,1.0
6,1,1,C,3,30.208333333333343,1.0416666666666665,0.28125,5,120BPM Combined.mid,62.70161290322565,12.923497267759615,15.409836065573742,120,2.0
6,1,1,D,4,12.5,9.375,1.28125,1,60BPM Hat.mid,61.827956989247454,-4.388888888888872,3.7222222222222454,60,-2.0
6,1,1,D,4,20.0,2.5,1.28125,2,60BPM Snare & Hat.mid,36.80555555555574,1.637931034482815,7.413793103448266,60,-1.0
6,1,1,D,4,22.5,25.0,1.28125,3,60BPM Kick & Hat.mid,69.92187500000016,-10.618279569892449,27.311827956989255,60,0.0
6,1,1,D,4,12.5,25.0,1.28125,4,60BPM Combined.mid,61.55913978494617,-8.555555555555532,26.45161290322581,60,1.0
6,1,1,D,4,27.083333333333343,7.291666666666667,1.28125,5,120BPM Combined.mid,40.92592592592611,13.44256120527315,20.994623655913987,120,2.0
7,4,1,A,3,2.5,0.0,-1.71875,2,60BPM Snare & Hat.mid,19.405241935483712,0.996527777777784,3.1666666666666425,60,-1.0
7,4,1,A,3,4.166666666666657,0.0,-1.71875,5,120BPM Combined.mid,49.83777322404371,19.515625,7.187499999999986,120,2.0
7,4,1,A,3,2.083333333333343,2.083333333333333,-1.71875,4,60BPM Combined.mid,21.942204301075382,-1.6493055555555536,2.420138888888914,60,1.0
7,4,1,A,3,6.25,0.0,-1.71875,1,60BPM Hat.mid,23.61111111111122,3.5560344827586436,3.3333333333333397,60,-2.0
